role_id,functional_group,seniority_tier,hourly_rate_dkk,example_titles
engineering_lead,Engineering & Tech,Lead / Principal,850,"Tech Lead, Principal Engineer, Head of Engineering, Device Lead, CAN-bus Lead"
engineering_senior,Engineering & Tech,Senior,600,"Senior Engineer, Senior Developer, Senior QA"
engineering_std,Engineering & Tech,Mid-level,420,"Engineer, Developer, Frontend, Backend, Mobile, Firmware, Hardware Engineer"
product_lead,Product,Lead / Head,850,"VP of Product, Head of Product, Product Lead, Head of Design"
product_senior,Product,Senior,620,"Senior PM, Senior Designer, Senior QA"
product_std,Product,Mid-level,440,"Product Manager, Product Designer, Product QA"
data_lead,Data & Analytics,Lead / Head,820,"Head of Data, Data Lead, Analytics Lead"
data_senior,Data & Analytics,Senior,580,"Senior Data Engineer, Senior Data Scientist, Senior Analyst"
data_std,Data & Analytics,Mid-level,410,"Data Engineer, Data Scientist, Business Analyst, Data Analyst"
sales_cs_lead,Sales & Customer Success,Lead / Head,780,"Head of Sales, Head of CS, Director of Sales, CSM Lead"
sales_cs_senior,Sales & Customer Success,Senior,560,"Senior Account Executive, Senior CSM, Senior CX Specialist"
sales_cs_std,Sales & Customer Success,Mid-level,390,"Account Executive, CSM, Customer Success Specialist, CX Specialist"
marketing_lead,Marketing & Comms,Lead / Head,750,"Head of Marketing, Marketing Lead, Head of Brand, Head of Content"
marketing_senior,Marketing & Comms,Senior,530,"Senior Designer, Senior Content Manager, Senior Marketing Manager"
marketing_std,Marketing & Comms,Mid-level,360,"Graphic Designer, Content Manager, Social Media Manager, SEO Manager"
ops_finance_lead,Operations & Finance,Lead / Head,800,"VP Finance, Head of Ops, Head of Supply Chain, People & Culture Lead"
ops_finance_senior,Operations & Finance,Senior,560,"Senior Finance Manager, Senior Operations Manager, Senior HR Manager"
ops_finance_std,Operations & Finance,Mid-level,380,"Finance Coordinator, Operations Coordinator, Office Manager, HR Coordinator"
leadership,Leadership,C-level / VP / Dir,980,"CEO, CTO, COO, CFO, VP of X, Director of X"
standard,— Unassigned —,Unknown,350,Fallback when no title is known — review and reassign
